,scores
0,12
1,10
2,18
3,17
4,8
5,10
6,9
7,31
8,50
9,69
10,95
11,88
12,81
13,65
14,128
15,49
16,115
17,147
18,103
19,70
20,102
21,107
22,147
23,146
24,123
25,99
26,81
27,169
28,181
29,129
30,260
31,243
32,157
33,225
34,180
35,158
36,212
37,313
38,226
39,289
40,495
41,201
42,500
43,500
44,328
45,243
46,296
47,500
48,500
49,500
50,247
51,500
52,500
53,500
54,500
55,327
56,500
57,500
58,167
59,164
60,500
61,500
62,500
63,500
64,103
65,500
66,233
67,358
68,500
69,303
70,452
71,500
72,500
73,500
74,500
75,500
76,500
77,500
78,500
79,500
80,500
81,258
82,500
83,500
84,500
85,500
86,500
87,500
88,500
89,500
90,500
91,458
92,500
93,500
94,500
95,162
96,500
97,500
98,500
99,500
100,500
101,448
102,500
103,220
104,500
105,500
106,500
107,500
108,328
109,500
110,500
111,500
112,500
113,500
114,500
115,500
116,500
117,500
118,500
119,291
120,272
121,133
122,500
123,500
124,500
125,340
126,414
127,500
128,500
129,500
130,500
131,500
132,500
133,500
134,500
135,500
136,500
137,139
138,173
139,500
140,500
141,500
142,500
143,500
144,500
145,436
146,500
147,500
148,500
149,500
150,500
151,500
152,500
153,204
154,168
155,500
156,493
157,211
158,246
159,500
160,328
161,233
162,500
163,500
164,500
165,8
166,500
167,500
168,500
169,500
170,500
171,500
172,341
173,339
174,500
175,500
176,500
177,500
178,500
179,500
180,500
181,500
182,210
183,28
184,500
185,500
186,500
187,340
188,356
189,500
190,500
191,500
192,500
193,500
194,500
195,172
196,276
197,173
198,500
199,500
200,136
201,214
202,223
203,500
204,500
205,500
206,414
207,500
208,500
209,500
210,500
211,500
212,500
213,317
214,500
215,500
216,500
217,500
218,500
219,500
220,500
221,500
222,500
223,500
224,500
225,359
226,295
227,500
228,254
229,298
230,194
231,500
232,171
233,500
234,245
235,119
236,207
237,133
238,124
239,198
240,500
241,500
242,500
243,500
244,329
245,500
246,500
247,495
248,500
249,500
250,500
251,500
252,500
253,500
254,500
255,500
256,500
257,500
258,500
259,500
260,157
261,500
262,500
263,500
264,500
265,500
266,500
267,500
268,500
269,500
270,500
271,500
272,500
273,445
274,500
275,500
276,500
277,500
278,500
279,500
280,259
281,500
282,500
283,500
284,500
285,500
286,500
287,500
288,500
289,414
290,500
291,374
292,500
293,500
294,500
295,500
296,500
297,500
298,500
299,500
300,188
301,164
302,500
303,500
304,500
305,500
306,500
307,500
308,500
309,500
310,500
311,500
312,500
313,500
314,500
315,500
316,500
317,500
318,500
319,197
320,500
321,500
322,335
323,199
324,500
325,489
326,200
327,249
328,342
329,267
330,290
331,296
332,143
333,90
334,118
335,65
336,321
337,500
338,98
339,500
340,172
341,55
342,500
343,273
344,170
345,500
346,500
347,500
348,500
349,500
350,500
351,500
352,500
353,500
354,500
355,500
356,500
357,500
358,500
359,500
360,500
361,500
362,500
363,500
364,500
365,500
366,500
367,500
368,500
369,500
370,500
371,500
372,500
373,500
374,500
375,500
376,500
377,500
378,500
379,500
380,500
381,500
382,500
383,500
384,500
385,500
386,500
387,500
388,500
389,500
390,500
391,500
392,500
393,500
394,500
395,500
396,500
397,500
398,500
399,500
400,422
401,500
402,500
403,296
404,500
405,500
406,415
407,392
408,207
409,321
410,12
411,199
412,500
413,109
414,179
415,500
416,162
417,500
418,500
419,500
420,235
421,11
422,121
423,86
424,74
425,101
426,179
427,500
428,500
429,500
430,500
431,500
432,455
433,500
434,500
435,500
436,500
437,500
438,431
439,500
440,500
441,500
442,500
443,500
444,500
445,500
446,500
447,500
448,500
449,500
450,500
451,500
452,500
453,500
454,500
455,500
456,500
457,500
458,500
459,70
460,376
461,500
462,500
463,242
464,500
465,500
466,500
467,500
468,500
469,500
470,500
471,500
472,500
473,478
474,500
475,500
476,500
477,500
478,500
479,500
480,500
481,500
482,500
483,500
484,206
485,500
486,500
487,500
488,356
489,500
490,500
491,500
492,500
493,500
494,500
495,500
496,500
497,500
498,500
499,500
